timestamp,src_ip,dst_ip,protocol,packet_length,tcp_flags,label
2025-07-27 20:15:28.290246,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.476651,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:27.933396,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:29.736273,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:26.041408,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:30.016393,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:28.265467,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.203362,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:28.448920,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:25.763105,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:29.355922,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:28.796286,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.317546,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:26.789325,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:28.827621,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:27.459286,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:27.797919,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:29.054468,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:27.962902,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:28.300598,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:28.405977,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:26.880492,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.586291,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:28.045983,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:27.071307,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:25.992602,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:28.294728,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.304946,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
2025-07-27 20:15:27.237738,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:29.728455,127.0.0.1,127.0.0.1,UDP,33,,-1
2025-07-27 20:15:28.798346,172.20.147.152,172.20.147.152,TCP,44,0x0014,-1
2025-07-27 20:15:27.065976,172.20.147.152,172.20.147.152,TCP,56,0x0002,-1
