index,src,dst,prediction
0,10.0.0.33,192.168.1.100,DDoS
1,198.51.253.101,192.168.1.100,DDoS
2,198.51.12.106,192.168.1.100,DDoS
3,198.51.214.79,192.168.1.100,DDoS
4,198.51.235.59,192.168.1.100,DDoS
5,198.51.39.115,192.168.1.100,DDoS
6,10.1.0.38,192.168.1.100,DDoS
7,198.51.190.132,192.168.1.100,DDoS
8,198.51.158.137,192.168.1.100,DDoS
9,10.0.0.37,192.168.1.100,Normal
10,198.51.137.209,192.168.1.100,DDoS
11,10.0.0.15,192.168.1.100,Normal
12,10.1.0.13,192.168.1.100,DDoS
13,10.1.0.92,192.168.1.100,Normal
14,10.1.0.224,192.168.1.100,DDoS
15,10.1.0.176,192.168.1.100,DDoS
16,10.1.0.120,192.168.1.100,Normal
17,198.51.57.86,192.168.1.100,DDoS
18,10.1.0.103,192.168.1.100,Normal
19,198.51.234.131,192.168.1.100,DDoS
20,10.0.0.25,192.168.1.100,Normal
21,198.51.114.124,192.168.1.100,DDoS
22,198.51.63.48,192.168.1.100,DDoS
23,198.51.161.232,192.168.1.100,DDoS
24,10.0.0.7,192.168.1.100,DDoS
25,10.1.0.89,192.168.1.100,Normal
26,10.1.0.54,192.168.1.100,Normal
27,10.0.0.49,192.168.1.100,DDoS
28,10.1.0.213,192.168.1.100,DDoS
29,198.51.124.77,192.168.1.100,DDoS
30,198.51.207.219,192.168.1.100,DDoS
31,10.1.0.254,192.168.1.100,Normal
32,10.0.0.36,192.168.1.100,Normal
33,10.1.0.119,192.168.1.100,Normal
34,10.0.0.16,192.168.1.100,Normal
35,10.1.0.10,192.168.1.100,Normal
36,10.0.0.14,192.168.1.100,Normal
37,10.1.0.162,192.168.1.100,Normal
38,198.51.12.134,192.168.1.100,DDoS
39,198.51.174.112,192.168.1.100,DDoS
40,10.1.0.201,192.168.1.100,DDoS
41,198.51.30.161,192.168.1.100,DDoS
42,198.51.194.153,192.168.1.100,DDoS
43,10.1.0.153,192.168.1.100,Normal
44,10.1.0.126,192.168.1.100,DDoS
45,198.51.219.46,192.168.1.100,DDoS
46,10.1.0.5,192.168.1.100,DDoS
47,198.51.77.154,192.168.1.100,DDoS
48,198.51.231.165,192.168.1.100,DDoS
49,10.1.0.219,192.168.1.100,Normal
50,10.1.0.230,192.168.1.100,Normal
51,198.51.173.239,192.168.1.100,DDoS
52,10.1.0.116,192.168.1.100,Normal
53,10.1.0.165,192.168.1.100,DDoS
54,10.1.0.165,192.168.1.100,DDoS
55,198.51.180.115,192.168.1.100,DDoS
56,198.51.180.252,192.168.1.100,DDoS
57,198.51.134.8,192.168.1.100,DDoS
58,10.0.0.34,192.168.1.100,Normal
59,10.1.0.66,192.168.1.100,Normal
60,198.51.31.43,192.168.1.100,DDoS
61,198.51.12.68,192.168.1.100,DDoS
62,198.51.128.192,192.168.1.100,DDoS
63,10.0.0.35,192.168.1.100,Normal
64,10.1.0.76,192.168.1.100,Normal
65,10.0.0.21,192.168.1.100,DDoS
66,10.1.0.253,192.168.1.100,Normal
67,10.1.0.80,192.168.1.100,DDoS
